Sample_ID,Easting,Northing,Na2O_%,MgO_%,Al2O3_%,SiO2_%,P2O5_%,S_mgkg,Cl_mgkg,K2O_%,CaO_%,TiO2_%,MnO_%,Fe2O3_%,Sc_mgkg,V_mgkg,Cr_mgkg,Co_mgkg,Ni_mgkg,Cu_mgkg,Zn_mgkg,Ga_mgkg,Ge_mgkg,As_mgkg,Se_mgkg,Br_mgkg,Rb_mgkg,Sr_mgkg,Y_mgkg,Zr_mgkg,Nb_mgkg,Mo_mgkg,Nd_mgkg,Sm_mgkg,Yb_mgkg,Hf_mgkg,Ta_mgkg,W_mgkg,Tl_mgkg,Pb_mgkg,Bi_mgkg,Th_mgkg,U_mgkg,Ag_mgkg,Cd_mgkg,In_mgkg,Sn_mgkg,Sb_mgkg,Te_mgkg,I_mgkg,Cs_mgkg,Ba_mgkg,La_mgkg,Ce_mgkg,Au_ugkg,Pd_ugkg,Pt_ugkg
595001C,306158,170783,1.3,2.6,16.6,56,0.17,500,100,2.4,2.17,1.58,0.266,7.62,16.8,142.7,105.6,23.3,35.3,18.7,128.4,19.5,1.8,19,0.6,11.1,91.9,110.3,37.4,570.4,19.3,1.4,29.8,6.9,4.5,13.5,0.9,3.6,0.1,25.1,0.6,10.7,3.4,0.25,0.2,0.25,4.4,0.7,0.2,3.2,3,342,40,71,1.6,0.69,3.67
595002C,316406,181541,0.8,1.6,17.7,57,0.21,500,100,2.64,0.22,0.81,0.267,6.09,14.9,92.2,73.8,23.9,44.8,22.8,139.5,19.8,1.7,18.3,0.6,13,105.9,96,26.6,212.1,14.4,0.9,32.1,4.3,2.5,6,0.7,3.2,0.5,26.7,0.9,10.1,2.6,0.1,0.5,0.25,3.2,0.7,0.25,5,5,415,39,68,2.23,0.97,5.04
595004C,310568,173739,2.1,2.2,13.5,56,0.13,500,100,1.76,1.05,1.591,0.189,5.65,14.1,97.7,63.4,15.2,16.6,10.6,63.7,17.8,0.7,29.4,0.8,24.3,65.2,69.1,62.4,892.6,24.2,0.9,34.1,2.8,6.6,26,1.6,6.6,0.2,20.5,0.8,21.5,9.1,0.25,0.1,0.25,8.7,0.4,0.25,5.2,1,200,51,90,1.3,0.52,5.94
595006C,313618,185830,0.5,1.4,15.9,60,0.11,500,100,2.39,0.17,0.884,0.22,5.89,14.7,80,66,26.9,25.9,18.3,97,16.2,1.8,19.9,0.5,21.1,90.5,66.7,29.4,253.5,16.2,0.7,36.1,4,1.5,6.9,1,3.5,0.25,20.9,0.5,7.8,2.3,0.25,0.4,0.25,3,0.5,0.25,6.5,4,341,41,62,1.07,0.57,1.74
595007C,317713,170241,0.9,1.8,18.6,54,0.19,500,100,2.73,0.25,1.162,0.395,7.71,16.8,122.8,84.8,27.4,42.3,27.3,126.2,21.6,1.5,30.5,0.9,19.8,113.3,80.9,38.3,248.7,17.2,1,40.3,5.5,2,7.1,0.5,3.5,0.1,38.2,0.7,11.4,2.9,0.3,0.3,0.25,4.5,2,0.25,7.3,5,428,55,106,3.99,0.98,3.06
595008C,310110,174720,1.1,2.4,16.8,54,0.16,500,100,2.59,0.74,1.363,0.354,7.14,17.3,118.7,74.4,26,32.5,17.6,99.8,20.1,1.1,34.2,0.8,24.8,101,74.1,46.7,532.7,19.5,1.2,37.4,8.3,4.3,14.1,1.4,4.8,0.25,24.9,0.9,15.7,5.1,0.25,0.9,0.25,6.4,0.5,0.1,7.1,3,341,44,76,1.27,0.63,3.69
595009C,309326,181270,0.5,1.7,17.9,51,0.25,89,100,2.93,0.49,0.956,0.251,6.51,16.4,101.4,72.5,27.1,35.9,26.9,150,20.4,1.9,86.8,0.9,24.3,122.2,77.6,31.5,216,18.2,1,36.1,3,4.5,6.1,1.4,8.9,0.1,32.6,0.4,8.8,2.6,0.3,0.2,0.25,5.7,0.3,0.25,8.1,11,438,43,71,3.5,0.69,2.12
595010C,316924,175921,0.7,2.4,18.1,54,0.31,500,100,2.73,0.31,1.258,0.368,7.96,18.3,124.3,80.6,26.2,39.8,34.7,197.7,22,1.5,23.8,1.2,20.7,109.3,70.2,44.1,284.3,19.6,1.9,45.2,8.7,5.4,6.6,0.6,4.4,0.3,57.4,0.9,11.2,2.8,0.3,0.5,0.25,6,1.2,0.2,9.2,4,402,56,105,2.26,0.78,4.22
595011C,307031,183620,0.9,1.5,19,50,0.16,500,100,3.11,0.58,1.115,0.327,6.37,16.8,108.4,77.4,28.5,20.6,20.8,84.9,20.2,2,48.2,0.6,16,123.2,89.4,35.6,249.4,19.9,0.9,48.2,7.4,3.4,6,1.8,3.6,1.1,35.8,0.5,17.3,3.8,0.3,0.25,0.25,6.6,0.2,0.25,4.7,12,424,68,119,3.17,1.5,4.94
595013C,305702,176785,0.6,1.3,14.1,58,0.16,500,100,2.23,0.34,1.142,0.249,4.75,9.4,72.9,56,22.5,20.1,13.4,96.7,14.5,1.7,43.3,0.5,15.8,84.8,65.9,27,207.5,20.6,0.6,25.8,7.2,3.1,4.2,0.6,9.2,0.2,22.1,0.6,8.5,2.1,0.25,0.3,0.25,7.4,0.4,0.1,5.1,7,284,34,57,3.4,0.57,1.91
595014C,312707,175041,1.6,2.4,15.1,52,0.16,138,100,2.27,0.23,0.73,0.127,4.82,10.6,78.5,60.3,12.5,22.7,8.6,75.4,21,1.1,16.8,0.7,28.9,90.8,61.2,58.2,461.5,20,1,41,8.9,5.4,14.9,0.8,5.8,0.25,23.5,0.2,18.6,6.6,0.25,0.25,0.25,7.9,0.5,0.1,3.2,2,264,56,85,1.38,0.7,5.68
595017C,307610,172938,1.2,3.1,15.5,50,0.24,500,100,2.27,2.22,1.658,0.435,8.57,23.5,161.1,100,37.5,40.4,22.2,136.7,19.5,1.5,23.9,0.8,15.9,88.9,95.5,46.6,519.4,19.2,1.2,38.6,9,6.3,13.1,1.4,4.2,0.25,19.8,0.7,10,3.8,0.25,0.9,0.25,4.3,0.2,0.1,6.7,3,338,45,69,1.6,0.67,4.71
595018C,315810,174838,0.6,2.5,18.5,52,0.37,500,100,2.76,0.21,1.214,0.411,8.38,19,127.7,79,28.2,40.2,41.3,231.1,22,1.6,29.2,1.1,19.6,113.4,63.7,46.3,270.6,18.2,2.2,41.3,6,5.8,6.7,0.5,4.8,0.25,59.4,0.4,10.5,3.2,0.25,0.4,0.25,6.8,1.2,0.25,8.8,4,405,52,99,1.94,0.86,2.89
595020C,317861,173926,0.7,1.6,17.6,54,0.19,109,100,2.64,0.35,1.157,0.533,7.38,16.8,124.4,90.4,28.8,43.8,24,136.8,21.3,1.7,28.2,0.9,22.1,111,85.8,35,214.9,16.1,1.2,41.7,9.2,3.3,5.3,0.6,3.7,0.4,33.9,0.7,9.6,2.9,0.2,0.3,0.25,4.8,1.9,0.25,9.1,8,431,54,100,2.58,0.84,2.07
595021C,306202,179759,0.5,1.3,16.1,50,0.18,500,100,2.59,0.21,1.05,0.263,7.41,13.2,91.5,71.5,33.1,21.8,19.8,89.5,17.3,1.9,84.1,0.7,21.7,101.1,61.4,33,208.7,20.8,1,37.1,6.8,3.3,5.9,0.3,5.7,0.6,30.4,1.3,10.2,3,0.2,0.2,0.25,8.6,0.1,0.25,9.8,9,316,46,76,1.58,0.73,3.47
595022C,297768,169131,1,1.3,15.1,51,0.21,11,100,2.69,0.45,0.882,0.129,4.5,11.9,73.1,63.2,11.3,18,18.2,87.5,16.9,1.1,22.7,0.6,27.9,133.2,78.7,23.8,192,15.6,0.7,25.2,4.8,3.3,4,1.1,3.4,0.6,27.6,0.5,9.9,3.2,0.25,0.25,0.25,8.4,0.3,0.25,6.1,12,344,35,61,2.55,1,1.44
595023C,315405,187451,0.6,1.3,16.4,51,0.2,97,100,2.57,0.35,0.865,0.866,6.94,13.8,92.3,71.1,51.5,51.5,17.4,221.7,19.4,1.5,29.1,1,29,101.1,88.6,32.8,223.2,16.7,1,43.1,8.9,3.9,5.1,0.5,3.3,0.25,39.5,0.8,10.4,2.9,0.1,1.6,0.25,5.3,0.8,0.25,13.2,5,428,64,119,1.65,0.56,2.76
595025C,314145,178160,0.6,2.4,20,55,0.18,500,100,3.1,0.38,0.896,0.336,7.63,14.9,129.3,102.2,28,50.4,29.9,177.9,23.6,1.6,25.5,0.9,16.8,126.8,82.2,29.8,182.6,15,1.3,35.1,5.3,3.6,4.8,1.1,3.8,0.25,45.9,0.3,8.8,2.5,0.3,0.7,0.25,4.4,0.3,0.25,6.1,4,468,41,74,1.72,0.98,10.25
595027C,309759,188849,0.5,1.1,18.9,40,0.13,500,100,3.33,0.12,0.994,1.115,8.98,16.5,113.2,83.5,49.6,27.2,17.6,88.8,22.6,2.4,75.9,0.9,32.3,132.3,68.4,36.5,196.7,21.5,0.9,51.1,9.2,4.4,5.2,1.6,5.5,0.6,48.8,1,10.3,3.8,0.25,0.3,0.25,6.1,0.5,0.25,13.2,12,437,63,101,1.17,0.73,1.65
