Sample_ID,Easting,Northing,Na2O_%,MgO_%,Al2O3_%,SiO2_%,P2O5_%,S_mgkg,Cl_mgkg,K2O_%,CaO_%,TiO2_%,MnO_%,Fe2O3_%,Sc_mgkg,V_mgkg,Cr_mgkg,Co_mgkg,Ni_mgkg,Cu_mgkg,Zn_mgkg,Ga_mgkg,Ge_mgkg,As_mgkg,Se_mgkg,Br_mgkg,Rb_mgkg,Sr_mgkg,Y_mgkg,Zr_mgkg,Nb_mgkg,Mo_mgkg,Nd_mgkg,Sm_mgkg,Yb_mgkg,Hf_mgkg,Ta_mgkg,W_mgkg,Tl_mgkg,Pb_mgkg,Bi_mgkg,Th_mgkg,U_mgkg,Ag_mgkg,Cd_mgkg,In_mgkg,Sn_mgkg,Sb_mgkg,Te_mgkg,I_mgkg,Cs_mgkg,Ba_mgkg,La_mgkg,Ce_mgkg,Au_ugkg,Pd_ugkg,Pt_ugkg
595028C,305423,179253,0.9,1.5,17,52,0.12,500,100,2.77,0.53,1.063,0.208,5.44,16.4,90.9,71.1,25.5,22.5,18.8,140.3,18.2,1.4,37.6,0.6,14.3,104.8,91.4,30,268.2,20,0.5,36.7,6.8,2.3,7.5,0.9,4.4,0.3,31,1,12.4,3,0.25,0.5,0.25,5.6,0.25,0.25,4.6,9,374,47,86,1.2,0.61,2.41
595030C,317377,174148,0.9,1.5,20.5,54,0.2,500,100,3.12,0.22,1.026,0.534,8.5,20.2,136.7,93.9,32.5,55,39.4,147.1,23.4,2,76.4,0.8,20.3,133.9,100,36.1,214.5,16.4,2.3,44.2,7.2,4.2,5.7,1.2,3.5,0.1,36.7,0.7,12.5,4,0.1,0.1,0.25,4.8,7.6,0.25,9.6,7,495,58,110,2.64,1.47,2.68
595032C,326490,181052,0.8,2.1,13.7,61,0.24,500,100,2.29,0.67,0.878,0.339,5.59,11.4,91.8,104.9,21.1,36.9,23.6,135.7,17,0.4,25,0.6,14.9,89,89.8,43.2,448.9,22.7,1.6,39.7,9.1,4.4,10.6,1.8,3.8,0.2,35.6,0.5,10.8,3.6,0.25,0.5,0.25,4.8,1.4,0.25,7.7,3,376,44,86,3.33,0.96,1.41
595034C,313562,170373,1.3,2.1,17,55,0.14,500,100,2.81,0.48,1.035,0.224,5.81,15.9,100.2,71.8,18,29.8,12.8,75.2,20.9,1,25,0.6,17.5,107.9,57.5,51.8,388.3,19.2,1.3,38.1,6.1,5.9,11.8,0.8,6.3,0.1,25.1,0.5,16.9,5.3,0.25,0.25,0.25,7.3,0.4,0.25,5.6,2,326,54,98,1.84,0.9,1.99
595035C,314343,170187,1.4,1.8,17.5,56,0.15,500,100,2.71,0.38,1.131,0.44,6.55,15.7,101.7,75.4,34.2,35.2,23.8,118.5,19.3,1.3,29.8,0.3,17.9,105.1,71.4,55.3,387.3,20.7,1.4,46.7,7.8,5.6,11.6,1.4,6.9,0.25,29.1,0.3,16.5,4.8,0.25,0.25,0.25,5.9,0.9,0.25,4.5,3,344,65,126,1.4,1.05,2.43
595036C,307737,177122,0.5,1.8,19,54,0.14,500,100,3.18,0.19,1.01,0.293,6.66,12.8,108.4,76,25.8,38.5,22.1,126.8,21.3,1.5,69.7,0.6,17.7,129.9,74,26.1,179.8,18.5,0.7,30.2,5.7,2.3,5.3,1.1,22.9,0.1,26.2,1,7.3,2,0.4,0.2,0.25,12.1,0.4,0.25,6.4,15,476,35,59,1.13,0.54,2.19
595037C,313897,176923,0.5,1.8,19.8,54,0.22,500,100,3.05,0.18,0.951,0.352,8.35,16.6,121.6,102.7,21.4,43,30.3,130.7,21.9,1.6,52.2,1,13.2,129,86.5,43.1,203.4,15.1,1.6,44.3,6.8,4,5.2,0.3,3.7,0.1,33,0.9,10.2,2.7,0.4,0.3,0.25,4.3,0.5,0.25,8.9,4,486,53,77,1.39,0.66,2.61
595039C,309173,175633,0.9,2.1,17.9,57,0.13,500,100,2.71,0.44,1.116,0.258,7.17,16.8,111.2,80.5,22,34.2,18.7,113.2,20.8,1.3,38.4,0.7,19.8,106.3,84.1,34.6,362.7,16.1,1.2,36.7,7.5,3.1,9.4,0.8,4.6,0.5,21.8,0.8,10.4,3.8,0.25,0.1,0.25,5.6,0.9,0.25,5.5,4,399,43,73,1.73,0.74,8.29
595040C,309151,171300,2.2,3.4,13.9,52,0.25,500,42,1.75,2.49,1.868,0.387,8.07,19.9,150.8,63.6,33,18.9,15.6,128.3,19,1.3,41.7,0.8,20.2,68.7,86.3,86.3,687.1,20.9,1.3,57.1,7.3,6.3,18.9,1.5,5.9,0.2,19.4,1,15.1,8.1,0.25,1.1,0.25,8.9,0.4,0.25,4.5,1,225,86,111,1.48,0.25,10.27
595041C,313269,174731,1.3,2.4,17.8,48,0.17,500,100,1.96,0.2,0.794,0.633,6.4,13.3,83.1,50.6,29.1,27.4,27.7,244.7,22,0.8,37.5,0.7,42.5,77,43.2,68.7,392.2,16.3,2.6,72.4,12.2,7.1,10.4,0.7,7.9,0.25,60.7,0.2,23.4,12.8,0.25,1.5,0.25,6.4,0.6,0.25,9,2,265,88,148,2.78,0.95,18.56
595042C,316016,188494,0.6,1.6,17.6,56,0.17,500,100,2.65,0.35,0.937,0.786,7.07,15.3,99.7,73.5,40.4,41.1,21.7,159.9,19.3,1.7,27.9,0.5,14.8,104.1,85.6,34,223.9,17,1.2,50.2,8,3.4,6.5,0.8,4.5,0.25,62.6,0.2,11.9,2.7,0.2,0.7,0.25,3.3,1.4,0.2,7.2,5,431,67,125,4.17,1.56,3.24
595043C,312769,175701,0.9,2.3,18.7,54,0.17,500,100,2.85,0.23,0.945,0.286,6.74,17.6,110.4,79.6,22.3,32.7,23.6,120.4,22.9,1,32.3,0.7,16.8,114.9,67.5,44.1,332.3,19.8,1.9,43.9,7.8,4.8,9.1,1,5.9,0.2,33.3,0.8,15.3,5.3,0.25,0.2,0.25,5.4,0.4,0.25,4.4,4,384,54,91,2.39,0.83,4.53
595045C,305518,174449,0.5,1.5,15.1,58,0.2,500,100,2.4,0.61,1.496,0.4,4.9,13,84.1,64.7,31.3,28.9,26.6,121.4,15.8,1.2,58.3,0.6,15.5,93.9,71,33,240,23.7,0.8,33.2,5.4,2.4,6.2,1.2,21.9,0.4,30.1,0.8,7.7,2.5,0.5,0.6,0.25,11.3,0.4,0.25,5.5,9,357,40,64,6.13,0.68,2.45
595046C,311011,180063,1.1,1.3,16.5,53,0.17,500,100,2.89,0.51,0.738,0.434,5.11,11.4,76.8,52.8,30.3,18.1,16.7,96.6,18.3,1.4,30.7,0.9,32.6,123.1,89.9,22.7,200.7,15.3,0.6,30.9,3.8,1.5,6,1.3,4.7,0.9,45.4,1.1,11,4.1,0.1,0.4,0.25,8.4,0.6,0.25,7.1,10,363,43,74,1.26,0.62,1.98
595047C,307492,184740,0.6,1.1,17.7,47,0.15,67,100,2.63,0.16,1.041,0.509,6.75,16.1,94.4,71.5,47.9,19.2,35.3,86.1,17.8,1.5,27.9,1.2,64.9,107.4,69.8,46.4,218,21.9,0.9,76.8,11.7,5.4,5.1,0.8,5,0.2,34.5,0.4,11.1,2.9,0.25,0.25,0.25,3.4,0.3,0.25,17.1,6,312,57,115,1.2,0.83,1.81
595048C,310485,178314,0.5,1.3,16.4,55,0.16,500,100,2.63,0.22,1.375,0.192,5.33,13.4,92.8,70.7,18,33.5,19.7,98.2,17.4,1.8,22.8,0.6,21.3,101.5,95.2,33.1,211.1,23.6,0.8,41.3,9.3,2.9,5.4,1.4,5.3,0.3,24.1,0.4,8.9,2.2,0.25,0.25,0.25,3.9,0.8,0.25,7.7,5,398,48,81,5.9,0.56,2.67
595049C,307600,170348,1.9,3.2,13.8,54,0.22,500,100,1.74,3.84,2.573,0.294,8.68,23.9,174.4,100.8,26.1,23,12.7,98.9,18.8,1.3,14.5,0.6,14.7,63.8,119.4,44.7,992.2,25.4,1.1,33.3,5.6,6.9,24.2,0.9,5.2,0.25,19.3,1.1,11.7,4,0.25,0.25,0.25,6.4,0.3,0.25,4.1,2,238,35,67,1.04,0.25,1.73
595050C,306517,175838,1.2,1.5,16.4,55,0.17,500,100,2.94,0.61,0.878,0.362,5.37,12.5,79,54,23.7,16.5,15.1,113,18.8,1.3,41.3,0.5,17.2,124.3,90.4,24.9,226.5,16.3,0.8,31.2,7.1,1.5,6.2,1,8.5,0.8,37,0.15,14.8,4,0.2,0.6,0.25,9.9,0.5,0.25,5.7,9,389,49,91,1.09,0.52,6.34
595052C,319311,172436,0.9,1.2,18.5,58,0.23,500,100,2.76,0.27,1.009,0.384,7,15.5,111,89.7,29.2,54,30.8,173.1,21,1.2,31.7,0.6,13.3,117.4,95.4,36,267.2,15.9,1.2,49.7,8.2,4.1,7,1.6,4.3,0.5,44.9,0.7,11.6,2.4,0.5,0.5,0.25,9.2,2.5,0.3,6.7,11,447,57,110,2.83,0.86,2.15
595054C,317320,173716,0.7,1.7,18.5,53,0.26,500,100,2.59,0.27,1.214,0.392,8,19.2,128.8,88.4,28.9,39.6,32.8,137.6,21.4,1.5,36.7,1.2,22.7,110.5,78.8,36.9,244.4,17.3,1.2,40.2,6.4,3.7,6,0.3,3.5,0.2,40,0.7,11.5,2.6,0.4,0.1,0.25,4.4,2.3,0.25,9.6,6,427,52,99,3.27,0.83,1.61
595055C,306960,181255,0.5,1.8,19.8,50,0.15,500,100,3.2,0.18,0.929,0.263,7.3,17.1,109.7,81.3,32.8,27.1,23.9,125.7,21.4,1.9,39.2,0.6,20.5,125.2,64.4,40.6,198.3,18.9,1,52.1,4.9,4,5.4,0.7,4.6,0.5,27.9,0.7,10.7,2.5,0.4,0.25,0.25,6.1,0.3,0.25,7.8,8,388,53,79,0.5,0.69,1.42
595056C,305439,171013,1.9,2.8,13.9,56,0.17,500,100,1.86,3.42,2.583,0.3,7.73,21.1,152.3,91.6,23,23.5,14.7,91.3,19.1,1.5,11.7,0.4,9.5,68.6,123.2,44.6,1152.6,26.2,1.2,32.5,7.7,8,28.6,0.6,5.2,0.3,18.4,1.1,13.1,4.9,0.25,0.4,0.25,6.3,0.3,0.2,2.1,2,256,35,67,1.62,0.25,1.68
595058C,319027,171811,0.7,1.2,17.4,58,0.29,500,100,2.61,0.24,1.037,0.312,6.92,15.8,105.5,88.1,21.9,38,23.6,134.5,19.6,1.8,29.1,0.6,12.2,112.3,84.4,34.7,301.4,16.5,1.1,51.5,8.3,5.2,8.2,0.8,4.5,0.4,32.5,0.3,11.4,2.4,0.2,0.3,0.25,5.8,1.5,0.25,6.2,9,423,66,124,1.94,0.71,2.35
595060C,310148,176176,0.7,1.8,17.6,54,0.26,500,100,2.73,0.34,0.904,0.362,6.92,15.5,115.4,84.3,24.9,41.1,30.2,148.9,20.2,1.5,33.5,0.9,15.1,108.6,93.2,35.3,202.9,15.2,1.9,40.2,5.6,3,5.8,0.8,4.4,0.2,29.2,0.7,9.2,3.1,0.1,0.7,0.25,4.6,0.8,0.25,7.7,5,453,45,66,2.01,0.69,2.71
595061C,284782,161930,1.6,1.2,12.5,60,0.16,500,100,2.12,1.16,0.963,0.127,3.89,9.8,64.5,40.8,12.1,13.7,15.7,89.5,14.1,1.4,8.8,0.4,22.7,90.9,120.8,24.1,286.3,14.9,0.5,27.5,5.8,1.4,7.7,3.2,3.1,0.1,21.7,0.8,11.4,4.1,0.25,0.4,0.25,13.7,0.25,0.25,3.7,7,292,43,76,0.5,0.66,0.68
595063C,316006,186185,0.8,1.6,18.8,58,0.13,500,100,2.9,0.2,0.851,0.399,6.72,13.1,99,74.7,30.9,38.6,15.4,153.9,20.5,2.2,26.5,0.6,19.2,116.5,96.7,28.3,202,15.9,0.8,32.1,5.2,4.4,4.6,0.9,4.3,0.5,25.5,0.9,9,2,0.25,0.2,0.25,4.1,0.7,0.25,6.6,6,446,41,74,2.03,0.71,14.21
595065C,305625,170379,1.3,2.2,12.4,47,0.2,228,100,1.85,3.22,1.782,0.79,7.35,19.2,140.7,85.1,34,22.9,14,129.4,17.8,0.8,10.3,0.9,24.5,69.8,107,48,922.4,20.9,1.2,34,10,5.6,23.5,1.1,5,0.25,21.8,0.8,11.3,4.3,0.25,0.25,0.25,5,0.6,0.25,8.4,2,325,37,71,1.45,0.54,3.35
595066C,308380,181576,0.7,1.4,17.5,52,0.15,500,100,2.86,0.44,0.895,0.292,5.89,14.5,93.9,70.2,30.3,27.9,20.5,116.7,19.3,1.5,86.9,1,19.2,106.9,77.2,31,210.3,17.2,1.1,38.1,6.5,3.6,5.6,0.5,10.9,0.4,27.3,0.9,8.5,2.3,0.3,0.7,0.25,15.7,0.4,0.25,8.3,8,406,43,69,2.3,0.7,3.53
595068C,317993,171329,0.7,1.4,15.5,48,0.22,205,100,2.36,0.38,1.17,0.507,6.39,15.4,106.7,72.3,27,66.9,26,152.8,18.8,1.9,24.1,0.9,44.6,98.7,79.7,42.9,229.8,16.2,1.1,42.8,9,4.1,5.6,1,6.1,0.25,47.7,0.8,10.3,2.5,0.4,0.2,0.25,3.7,1.4,0.25,15.2,9,375,49,92,5.34,0.84,4.8
595069C,315734,179118,0.8,2.2,17.5,59,0.16,500,100,2.67,0.4,0.824,0.324,6.06,15,109.1,111.9,30,50.5,23.4,148.1,17.8,1.8,25.7,0.5,12.3,103.7,89.4,25.9,180.6,12.7,1,31.3,4.6,3.5,5.2,1.2,3.8,0.3,21.6,0.8,9.5,2.7,0.25,0.7,0.25,3.1,0.7,0.25,4.5,4,408,41,76,8.78,1.16,2.63
595070C,314878,179130,0.8,1.7,17.3,60,0.18,500,100,2.56,0.26,0.851,0.42,6.23,12.7,87.6,71.2,29.3,40,17.2,138.7,17.5,2,18.6,0.5,9.7,102,90.7,27.3,236,15,0.6,34.1,3.5,4.4,5.6,0.9,3.4,0.25,31.5,0.3,9,2.1,0.2,0.6,0.25,3.7,0.9,0.25,5.5,5,401,40,70,2.46,0.68,22.59
595071C,318075,176056,0.8,1.7,18.5,54,0.26,500,100,2.72,0.33,1.148,0.48,8.13,16.9,125.2,90.9,29.1,47.1,34.5,170.6,22,1.5,39.3,0.9,18.3,116,90.3,35.1,219.8,16.7,1.5,39.2,6.8,4.1,6.8,0.7,3.7,0.6,44.8,0.9,11,2.7,0.4,0.4,0.25,6.1,3.1,0.25,7.7,7,443,56,105,2.82,0.91,2.64
595072C,314742,185503,0.7,1.4,18.3,56,0.15,500,100,2.86,0.21,0.855,0.434,6.91,15.2,101.2,77.4,32.1,30.5,17.2,128.3,20,1.8,26.8,0.8,20,117.9,91.6,27.6,235.6,16.1,0.8,29.9,3.7,2.4,8.5,0.9,3.5,0.25,28.1,0.7,10.1,2.6,0.1,0.25,0.25,3.3,0.7,0.25,7.6,6,441,41,76,1.98,0.72,2.1
595074C,318082,176141,0.7,2.5,19.3,55,0.25,500,100,2.94,0.24,1.239,0.357,8.45,16.2,132.1,91.2,27,46.4,34.1,190.4,23.7,1.2,23.8,1,18.5,120.1,73.9,42.9,268.9,19.1,2,45.4,3.3,5.9,6.8,0.6,5.3,0.25,47.5,1.4,11.3,2.7,0.2,0.3,0.25,6.8,1.3,0.25,7.7,4,437,54,105,2.4,0.81,2.68
595077C,310999,177469,0.8,2.2,18.2,54,0.18,500,100,2.79,0.2,0.937,0.324,7.23,15.2,111.3,78.4,31.9,40.9,22.1,120,21.6,1.5,29.2,0.8,17.9,112.6,73.7,42.8,279,18.2,1.5,40.3,6,4.9,8.3,1.1,4.7,0.1,28.3,0.8,13,4.8,0.3,0.3,0.25,5.2,0.5,0.25,7.1,4,401,53,84,1.91,0.25,12.5
595079C,306803,174113,1.3,2.5,16.2,53,0.21,500,100,2.36,1.78,1.846,0.402,8.03,20,148.5,83.5,35.5,30.3,17.1,123.1,20,1.3,22.7,0.7,19.2,91,98.5,41,622.6,21.6,1.1,33.5,3.9,4.5,16.5,1.1,4.8,0.25,22.6,1,11.1,3.8,0.1,0.3,0.25,5.5,0.1,0.1,6,4,340,41,68,2.09,0.25,2.62
595080C,306066,178112,0.7,1.7,14.7,56,0.15,106,100,2.33,0.71,1.273,0.388,4.7,10.9,72.2,61,68.8,30.5,18.2,110.6,15.3,1.9,52.1,0.9,24.8,88.6,78.3,32.3,187.3,20,0.5,31.9,5.6,4.5,4.7,0.8,29.4,0.25,23.4,0.5,7.1,1.9,0.25,0.25,0.25,7.3,0.4,0.25,5.1,9,342,37,64,1.19,0.25,1.46
595081C,307416,182901,0.3,1.5,16.8,48,0.15,500,100,2.64,0.17,0.912,0.366,6.53,13.3,92.7,71,40.4,27.5,23.8,121.1,16.5,1.5,52.7,0.6,41.6,99.8,49.2,51.5,203.6,17.5,0.6,55.4,8.7,3.7,4.6,0.5,6,0.1,35,0.7,9.8,2.2,0.1,0.2,0.25,8.5,0.3,0.25,10.9,7,316,53,77,1.67,0.25,2.44
595084C,318905,176701,0.8,2.1,19.4,54,0.26,500,100,2.89,0.26,1.166,0.442,8.34,19.6,127.4,97,29.7,47.9,33.4,188.9,23.4,1.5,33.1,1.1,17.8,121.5,84.1,38.6,252.7,18,1.6,42.3,5.1,4.1,6.4,0.6,4.1,0.25,46.5,1,12.2,3.3,0.2,0.4,0.25,5.6,1.7,0.25,8.9,6,451,57,108,3.61,0.51,3.21
595085C,317344,182778,0.9,2,17.4,60,0.14,500,100,2.7,0.27,0.874,0.197,6.38,16,106.9,90.4,26.2,42.1,30.1,111.8,19.8,1.4,19.1,0.6,9.3,104.3,91.6,28.5,239.2,14.8,1.1,36.8,7.4,5,6.6,0.2,3.1,0.4,27.9,0.6,10.5,2.6,0.1,0.2,0.25,3,0.9,0.2,3,5,410,49,91,2.38,0.6,3.9
595086C,308621,134420,0.9,1.6,12.9,67,0.15,500,100,2.13,0.92,0.955,0.226,4.9,13.4,82.2,163.4,16.8,28.1,16.6,67.2,12.6,1.1,11.2,0.7,15.6,73.1,91.9,30.7,1232,17.2,0.5,34.4,7.3,2.8,30.5,0.7,3.2,0.25,17.5,1.4,12.2,2.9,0.25,0.25,0.25,21.2,1,0.25,10.1,2,326,40,76,11.39,0.66,68.68
595087C,308145,172433,1.4,3.1,16.5,55,0.16,500,100,2.3,2.45,2.256,0.269,8.47,24.3,169.2,92,25.2,29.9,25.4,118,20,1.3,14.6,0.4,8.7,89.7,97.7,49.1,816.6,24.2,1.4,40.3,8.1,7.3,21.3,2.2,5.6,0.25,21.5,1,13.5,4.9,0.25,0.2,0.25,5.3,0.3,0.25,2.6,3,321,46,79,1.74,0.25,4.17
595088C,313453,179863,0.5,1.6,17,59,0.14,500,100,2.72,0.16,0.864,0.275,6.07,12.4,89.5,67.1,25.7,33.4,30.6,125.6,17.8,1.1,24,0.5,17.8,102.9,77.3,27.5,299.8,16.2,1.2,29,5,3.3,7.6,1.5,4.4,0.25,43.2,0.2,8.1,2.3,0.25,0.2,0.25,4.9,0.9,0.25,5.9,5,407,34,56,4.22,0.25,2.4
