Sample_ID,Easting,Northing,Na2O_%,MgO_%,Al2O3_%,SiO2_%,P2O5_%,S_mgkg,Cl_mgkg,K2O_%,CaO_%,TiO2_%,MnO_%,Fe2O3_%,Sc_mgkg,V_mgkg,Cr_mgkg,Co_mgkg,Ni_mgkg,Cu_mgkg,Zn_mgkg,Ga_mgkg,Ge_mgkg,As_mgkg,Se_mgkg,Br_mgkg,Rb_mgkg,Sr_mgkg,Y_mgkg,Zr_mgkg,Nb_mgkg,Mo_mgkg,Nd_mgkg,Sm_mgkg,Yb_mgkg,Hf_mgkg,Ta_mgkg,W_mgkg,Tl_mgkg,Pb_mgkg,Bi_mgkg,Th_mgkg,U_mgkg,Ag_mgkg,Cd_mgkg,In_mgkg,Sn_mgkg,Sb_mgkg,Te_mgkg,I_mgkg,Cs_mgkg,Ba_mgkg,La_mgkg,Ce_mgkg,Au_ugkg,Pd_ugkg,Pt_ugkg
588520C,259033,437947,1.3,2,19.8,60,0.28,6,100,3.28,0.7,1.025,0.291,7.92,15.3,113.1,105.4,31.4,50.6,40.3,137.1,21.7,1.2,14.9,0.5,17.6,108.4,166.4,34,764.9,20.5,0.7,47,8.1,4.5,16.6,1.9,3.2,0.6,26.6,0.4,15.1,3.3,0.25,0.3,0.25,3.2,0.4,0.25,6.8,4,716,57,107,2.94,1.53,0.77
588521C,240174,445245,0.9,2.2,9.1,38,0.63,69,30,1.62,1.66,0.673,0.424,20.35,9.9,80.2,50.5,20,30.4,33.1,137.5,12.6,0.6,399,0.6,28.1,52.7,141.8,32.9,468.1,10.3,5.5,42.3,3.6,3.5,9.2,0.4,0.3,1,19.5,1.4,9.2,3.4,0.1,0.1,0.3,2.7,0.6,0.25,17.5,1,597,44,77,1.95,2.17,1.29
588522C,240340,446121,1.4,2.8,11.5,52,0.31,2754,100,2.17,1.83,1.048,0.324,10.38,10,95,57.7,19.3,27.9,23.7,111.3,15.3,0.9,24,1.2,24.7,73,126.4,40.6,1816.3,13.9,1.8,42.3,5,6.3,41.8,0.5,2.2,0.25,12.8,1.6,13.3,7.4,0.25,0.25,0.25,1.8,0.4,0.1,21.1,2,600,49,88,86.72,2.97,1.54
588523C,230417,418671,0.8,1.1,5.3,46,0.12,970,98,1.43,10.32,0.33,0.045,1.86,2,35.3,22.3,6.3,8.6,5.5,28,5.9,0.7,4.4,0.1,15.3,45.8,391.9,12.9,194,6.5,1.5,13.6,4.1,0.7,3.2,0.5,0.8,0.7,7.9,0.1,4.1,1.9,0.25,0.25,0.25,0.4,0.5,0.25,7.8,2,285,18,33,1.16,0.6,0.3
588524C,241129,444181,1.1,2.1,10.7,57,0.15,500,16,1.99,1.7,0.838,0.794,10.41,10.5,95.9,46.3,33.4,19.8,15.5,100.7,13.8,0.7,28.5,0.3,26.6,59,121.5,24.3,753.6,10.1,1.2,26,3.1,2.4,16.3,0.5,1.1,1.3,18.7,1,8.3,2.5,0.1,0.25,0.25,1.6,0.6,0.25,9.5,1,436,29,62,1.27,2.71,1.4
588526C,224711,392386,1.3,3,15.7,50,0.37,500,100,3.5,1.06,0.776,0.586,8.62,10.5,86.8,62.3,29.6,18.8,16.3,158.3,20.4,1,44.9,0.5,18.6,117.1,202.5,30,429.6,17.3,1.7,33.1,2.4,3.5,8.6,0.5,2.6,0.3,30.5,0.4,12.6,4.3,0.1,0.3,0.25,4.4,0.9,0.25,9.1,3,876,33,74,0.5,0.25,0.3
588528C,235784,418705,1.4,3.5,17.5,51,0.29,500,100,2.7,1.48,0.985,0.447,9.96,19.4,149.7,108.1,48,58.3,46.9,127,21.4,1.2,8,0.5,15.2,85,195.8,33.2,470.5,15.8,0.7,46.5,8.1,3.6,11.1,0.8,2.2,0.3,17.1,0.6,9.5,2.7,0.4,0.5,0.25,2.3,0.5,0.1,7.5,2,645,52,101,1.36,2.35,1.38
588529C,231204,396601,1.5,2.6,13.8,59,0.34,500,100,2.56,1.08,0.889,0.111,5.44,13.8,86.4,79.8,14.2,34.1,28.1,136,16.6,1,7.8,0.7,26.5,95.7,151.2,34.9,513,16.8,1,35,6.8,4.2,11.4,0.4,3.2,0.7,51.3,0.3,11.9,3.5,0.25,0.7,0.25,2.7,0.4,0.2,5.9,1,603,43,83,1.49,0.57,0.32
588530C,233627,403662,0.9,2,14.1,47,0.57,424,64,2.55,1.21,0.801,0.195,5.85,12.8,88.4,87.8,20.9,44.6,32.8,115.4,18.8,0.9,15.1,1.1,35.8,94.2,159.4,30.8,298.2,16.2,1,39.1,3.1,2.3,6.7,0.3,2.9,1,27.7,0.8,10.9,4.6,0.2,0.8,0.25,2.1,0.1,0.25,9.6,2,535,42,78,2.49,0.66,0.33
588531C,235428,447925,0.3,0.9,5.4,20,0.66,30835.42,150,0.73,4.64,0.815,0.186,10.88,10.2,145.2,49.8,21.9,19.5,36.6,274.9,6.7,0.2,27.1,2.4,139.9,24.5,257.9,34.4,698.8,8.7,5.7,36.4,5.5,2.9,14.8,0.5,2.1,0.5,36.1,0.8,7.3,3.3,0.25,1,0.3,2.9,1.3,0.25,347.9,1,262,31,53,24.33,4.25,0.61
